stop_id,route_id,city,name,latitude,longitude,adv,shelter_rating,shelter_type,bench_rating,bench_type,trash_can_type,trash_can_rating
1085,10,WestWhittier-LosNietos,Whitter/Sorensen,33.9811,-118.051433,Compliant,Not Present,Not Present,4,Other,Other,3
1086,10,Montebello,Whittier/Montebello,34.010268,-118.108738,Compliant,4,Black Shelter (Title Roof),5,Backless w/Â Dividers,Metal / Aluminum,3
1087,10,Whittier,Whitter/Philadelphia,33.979097,-118.048693,Compliant,4,Other,4,Other,Other,3
1088,10,Montebello,Whittier/Greenwood,34.010854,-118.111337,Not Present ,4,Other,3,Other,Other,3
1089,10,Whittier,Philadelphia/Gregory,33.979077,-118.046317,Compliant,4,Other,1,Other,Other,3
1090,10,Montebello,Whittier/Taylor,34.011462,-118.114348,Compliant,4,Black Shelter (Title Roof),4,Backless w/Â Dividers,Metal / Aluminum,3
1091,10,Whittier,Philadelphia/Milton,33.979026,-118.039944,Compliant,4,Other,3,Other,Other,3
1092,10,Montebello,Whittier/Maple,34.012049,-118.1171,Compliant,4,Black Shelter (Title Roof),4,Backless w/Â Dividers,Metal / Aluminum,4
1093,10,Whittier,Philadelphia/Washington,33.979034,-118.034686,Compliant,4,Other,4,Other,Other,3
1094,10,Montebello,Whittier/Vail,34.012395,-118.118779,Compliant,4,Black Shelter (Title Roof),4,Backless w/Â Dividers,Metal / Aluminum,3
1095,10,Whittier,Philadelphia/Painter,33.979061,-118.033182,Compliant,4,Other,3,Other,Other,3
1096,10,Montebello,Whittier/21st,34.013364,-118.123289,Compliant,4,Black Shelter (Title Roof),4,Backless w/Â Dividers,Metal / Aluminum,4
1097,10,Whittier,Painter/Wardman,33.977459,-118.032798,Compliant,Not Present,Not Present,Not Present,Not Present,Other,4
1098,10,Montebello,Whittier/Concourse,34.014165,-118.127133,Compliant,Not Present,Not Present,3,Blue Metal,Metal / Aluminum,4
1099,10,Whittier,Painter/Penn,33.975124,-118.032632,Compliant,4,Other,4,Other,Other,3
2000,20,San Gabriel,South Pine St & East Live Oak,34.101934,-118.092191,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2001,20,Montebello,Telegraph/Gage,33.976822,-118.124346,Compliant,Not Present,Not Present,2,Concrete Standalone,Metal / Aluminum,3
2002,20,San Gabriel,San Gabriel/Las Tunas,34.10331,-118.091366,Compliant,2,Other,2,Other,Other,2
2003,20,Montebello,Greenwood/Telegraph,33.980605,-118.127812,Compliant,Not Present,Not Present,3,Concrete Standalone,Metal / Aluminum,3
2004,20,San Gabriel,San Gabriel/Broadway,34.098777,-118.091097,Compliant,2,Other,2,Other,Not Present,Not Present
2005,20,Montebello,Greenwood/Union,33.981531,-118.127278,Compliant,Not Present,Not Present,Not Present,Not Present,Cement,3
2007,20,Montebello,Greenwood/Elm,33.986728,-118.124158,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2008,20,San Gabriel,San Gabriel/Pearl,34.092752,-118.091009,Compliant,Not Present,Not Present,3,Other,Other,3
2009,20,Montebello,Greenwood/Oakwood,33.988781,-118.123001,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2010,20,San Gabriel,San Gabriel/Mission,34.091366,-118.091089,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2011,20,Montebello,Greenwood/Date,33.990875,-118.121757,Compliant,4,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,4
2012,20,San Gabriel,San Gabriel/Central,34.087866,-118.090923,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2013,20,Montebello,Greenwood/Frankel,33.993031,-118.120501,Not Present ,4,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2014,20,San Gabriel,San Gabriel/Chestnut,34.085995,-118.090907,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2015,20,Montebello,Greenwood/Washington,33.994922,-118.119395,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2016,20,San Gabriel,San Gabriel/Scott,34.082639,-118.09085,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2017,20,Montebello,Greenwood /School,33.997127,-118.118092,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2018,20,San Gabriel,San Gabriel/Valley,34.079881,-118.090839,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2019,20,Montebello,Greenwood/Beach,33.99973,-118.11659,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,3
2020,20,San Gabriel,San Gabriel/Marshall,34.075459,-118.090786,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2021,20,Montebello,Greenwood/Carmelita,34.001976,-118.11522,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2022,20,Rosemead,San Gabriel/Hellman,34.069649,-118.090694,Not Present ,3,Other,3,Other,Other,3
2023,20,Montebello,Greenwood/Mines,34.003646,-118.114256,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,3
2024,20,Rosemead,San Gabriel/Emerson,34.066444,-118.09068,Compliant,3,Other,3,Other,Other,3
2025,20,Montebello,Montebello/Olympic,34.006144,-118.109201,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,1
2026,20,Rosemead,San Gabriel/Garvey Near Side,34.062937,-118.090683,Compliant,3,Other,3,Other,Other,3
2027,20,Montebello,Montebello/Los Angeles,34.008596,-118.10843,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2029,20,Montebello,Montebello/Whitter,34.010523,-118.107986,Compliant,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2030,20,Rosemead,San Gabriel/Garvaila,34.057923,-118.090685,Compliant,3,Other,2,Other,Other,2
2031,20,Montebello,Montebello/Cleveland,34.012015,-118.107258,Compliant,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2032,20,Rosemead,San Gabriel/Klingerman,34.055471,-118.090649,Compliant,3,Other,3,Other,Other,3
2033,20,Montebello,Montebello/Madison,34.013362,-118.10685,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2034,20,Rosemead,San Gabriel/La Merced,34.053392,-118.090658,Compliant,3,Other,3,Other,Other,3
2035,20,Montebello,Montebello Mart,34.01691,-118.105878,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2036,20,South San Gabriel,San Gabriel/Potrero Grande,34.051491,-118.090647,Compliant,3,Other,3,Other,Other,3
2037,20,Montebello,Montebello/Victoria,34.01861,-118.105499,Compliant,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2038,20,South San Gabriel,San Gabriel/Sierra Bonita,34.04961,-118.09063,Compliant,Not Present,Not Present,3,Other,Other,3
2039,20,Montebello,Montebello/Lincoln,34.020299,-118.104992,Compliant,Not Present,Not Present,2,Concrete Standalone,Pole Mounted,3
2040,20,South San Gabriel,San Gabriel/Celito,34.047305,-118.09061,Compliant,Not Present,Not Present,3,Other,Other,3
2041,20,Montebello,Montebello/La Merced,34.022813,-118.104121,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2042,20,South San Gabriel,San Gabriel/Grandview,34.044198,-118.089783,Compliant,3,Other,3,Other,Other,3
2043,20,Montebello,Montebello/Jefferson,34.025956,-118.101706,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2044,20,Rosemead,San Gabriel/Delta,34.042537,-118.086019,Compliant,Not Present,Not Present,3,Other,Other,3
2045,20,Montebello,Montebello/Liberty,34.029447,-118.101332,Compliant,4,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2046,20,Rosemead,San Gabriel/Rose Glen,34.041856,-118.08439,Compliant,Not Present,Not Present,Not Present,Not Present,Other,3
2047,20,Montebello,Montebello/Costco,34.032151,-118.096452,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2048,20,Rosemead,Montebello/Robinsons May,34.037037,-118.080956,Compliant,3,Other,3,Other,Other,2
2049,20,Montebello,Montebello/Town Square,34.032308,-118.093701,Compliant,4,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,4
2050,20,Montebello,The Shops at Montebello,34.034544,-118.085096,Compliant,3,Brown Shelter (Brick Pillars),3,Bench withoutÂ Dividers,Cement,3
2051,20,Montebello,Town Ctr Dr/Paramount,34.035414,-118.091609,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2052,20,Montebello,Montebello/Town Square,34.032496,-118.093913,Compliant,4,Blue Shelter w/ Montebello Sign,3,Concrete Standalone,Cement,2
2053,20,Montebello,Town Center/Kaiser,34.036422,-118.08893,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2054,20,Montebello,Montebello/Costco,34.032298,-118.096668,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2055,20,Montebello,The Shops at Monetebllo,34.0369,-118.08615,Compliant,3,Brown Shelter (Brick Pillars),3,Bench withoutÂ Dividers,Cement,2
2056,20,Montebello,Montebello/Liberty,34.029902,-118.101068,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2057,20,Rosemead,Town Center/ Montebello Blvd,34.037787,-118.0821,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2058,20,Montebello,Montebello/Jefferson,34.026394,-118.101939,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2059,20,Rosemead,San Gabriel/Walnut Grove,34.041296,-118.082495,Compliant,Not Present,Not Present,Not Present,Not Present,Other,2
2060,20,Montebello,Montebello/La Merced,34.022663,-118.10442,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2061,20,Rosemead,San Gabriel/E.Village,34.041932,-118.084042,Compliant,Not Present,Not Present,Not Present,Not Present,Other,3
2062,20,Montebello,Montebello Mart,34.019413,-118.105527,Not Present ,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2063,20,Rosemead,San Gabriel/Delta,34.042959,-118.086547,Compliant,Not Present,Not Present,3,Other,Other,3
2064,20,Montebello,Montebello/Beverly,34.017594,-118.106059,Compliant,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2065,20,South San Gabriel,San Gabriel/Hill,34.044832,-118.090335,Compliant,3,Other,2,Other,Other,2
2066,20,Montebello,Montebello/Harding,34.015438,-118.106474,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2067,20,South San Gabriel,San Gabriel/Celito,34.047716,-118.090309,Compliant,3,Other,3,Other,Other,3
2068,20,Montebello,Montebello/Madison,34.013793,-118.106971,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,2
2069,20,South San Gabriel,San Gabriel/Sierra Bonita,34.049338,-118.090414,Compliant,Not Present,Not Present,3,Other,Other,3
2070,20,Montebello,Montebello/Cleveland,34.011464,-118.107604,Compliant,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2071,20,South San Gabriel,San Gabriel/Rush,34.051544,-118.090415,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2072,20,Montebello,Montebello/Whittier,34.010433,-118.108252,Compliant,4,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,3
2073,20,Rosemead,San Gabriel/Keim,34.052556,-118.090439,Compliant,3,Other,3,Other,Other,3
2074,20,Montebello,Montebello/Los Angeles,34.008507,-118.108729,Compliant,Not Present,Not Present,2,Concrete Standalone,Not Present,Not Present
2075,20,Rosemead,San Gabriel/Klingerman,34.055509,-118.090468,Compliant,3,Other,3,Other,Other,2
2076,20,Montebello,Montebello/Olympic,34.006081,-118.109471,Compliant,Not Present,Not Present,2,Concrete Standalone,Cement,1
2077,20,Rosemead,San Gabriel/Garvalia,34.058012,-118.090485,Compliant,3,Other,3,Other,Other,3
2078,20,Montebello,Montebello/Mines,34.003639,-118.114464,Not Present ,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2080,20,Montebello,Montebello/Carmelita,34.001641,-118.115613,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2082,20,Montebello,Montebello/Beach,33.999058,-118.117121,Compliant,Not Present,Not Present,Not Present,Not Present,Cement,2
2083,20,Rosemead,San Gabriel/Garvey North Bound,34.063001,-118.090406,Compliant,3,Other,3,Other,Other,3
2084,20,Montebello,Greenwood/School,33.997083,-118.118257,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2085,20,Rosemead,San Gabriel/Whitmore,34.065057,-118.090486,Compliant,3,Other,3,Other,Other,3
2086,20,Montebello,Greenwood/Washington,33.995434,-118.119225,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2087,20,Rosemead,San Gabriel/Dorothy,34.067549,-118.090519,Compliant,3,Other,3,Other,Other,3
2088,20,Montebello,Greenwood/Frankel,33.993244,-118.120558,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
